idx,cluster
0,8
1,16
2,11
3,12
4,11
5,3
6,6
7,6
8,1
9,11
10,16
11,3
12,14
13,8
14,2
15,6
16,14
17,9
18,14
19,11
20,3
21,7
22,4
23,0
24,5
25,9
26,9
27,11
28,0
29,14
30,14
31,12
32,16
33,10
34,3
35,12
36,12
37,10
38,5
39,9
40,0
41,1
42,16
43,6
44,6
45,6
46,3
47,16
48,12
49,16
50,11
51,10
52,1
53,9
54,3
55,2
56,11
57,7
58,6
59,8
60,16
61,15
62,13
63,16
64,16
65,12
66,6
67,8
68,10
69,0
70,13
71,6
72,14
73,0
74,5
75,15
76,2
77,10
78,10
79,5
80,1
81,5
82,13
83,15
84,6
85,11
86,4
87,4
88,1
89,11
90,10
91,16
92,6
93,14
94,16
95,3
96,15
97,11
98,2
99,5
100,5
101,6
102,3
103,16
104,12
105,15
106,9
107,6
108,7
109,3
110,2
111,15
112,15
113,3
114,8
115,16
116,16
117,5
118,2
119,12
120,15
121,5
122,15
123,3
124,4
125,15
126,14
127,14
128,3
129,3
130,14
131,15
132,6
133,9
134,9
135,7
136,8
137,5
138,3
139,12
140,3
141,16
142,14
143,6
144,16
145,11
146,11
147,8
148,12
149,16
150,7
151,0
152,15
153,14
154,5
155,15
156,13
157,10
158,8
159,10
160,12
161,8
162,15
163,9
164,14
165,16
166,6
167,10
168,12
169,5
170,14
171,9
172,15
173,6
174,4
175,11
176,3
177,3
178,6
179,16
180,3
181,13
182,11
183,9
184,12
185,10
186,15
187,9
188,10
189,8
190,12
191,6
192,14
193,13
194,13
195,16
196,15
197,3
198,9
199,16
200,15
201,5
202,4
203,3
204,11
205,3
206,9
207,9
208,13
209,4
210,13
211,10
212,16
213,16
214,9
215,9
216,0
217,3
218,12
219,15
220,1
221,8
222,3
223,2
224,3
225,15
226,6
227,9
228,0
229,16
230,16
231,5
232,3
233,3
234,13
235,13
236,6
237,0
238,2
239,16
240,15
241,4
242,6
243,12
244,8
245,15
246,15
247,0
248,10
249,14
250,11
251,7
252,8
253,9
254,14
255,6
256,3
